序号,舆情分类,问题简述,问题细分,备注,父记录
,产品质量类,故障告警,转向故障,,
,产品质量类,故障告警,安全气囊故障警告,,
,产品质量类,OTA更新问题,OTA更新不顺畅,,
,产品质量类,OTA更新问题,未收到OTA更新推送,,
,产品质量类,OTA更新问题,OTA后HUD不显示,,
,产品质量类,OTA更新问题,OTA后软件更新后语音默认为男性，且设置不记忆,,
,产品质量类,OTA更新问题,OTA后屏幕亮度不舒适,,
,产品质量类,OTA更新问题,OTA后Spotify网络连接异常,,
,产品质量类,OTA更新问题,OTA后泊车异常(找不到泊车按钮等）,,
,产品质量类,OTA更新问题,OTA后辅助驾驶异常（自动变道不记忆）,,
,产品质量类,OTA更新问题,OTA后蓝牙电话故障,,
,产品质量类,OTA更新问题,OTA后carplay功能异常（电话卡顿、声文转换功能异常等）,,
,产品质量类,OTA更新问题,OTA后车辆无法启动,,
,产品质量类,OTA更新问题,OTA无法按预约时间安装,,
,产品质量类,OTA更新问题,OTA未修复之前错误,,
,产品质量类,Emira问题,Emira油漆起泡,,
,产品质量类,Emira问题,Emira发动机故障,,
,产品质量类,Emira问题,Emira转向故障,,
,产品质量类,Emira问题,Emira 无Carplay功能,,
,产品质量类,Emira问题,Emira V6测试动力不足,,
,产品质量类,Emira问题,Emira坡道保持功能故障,,
,产品质量类,Emira问题,Emira蓄电池异常亏电，不能启动,,
,产品质量类,Emira问题,Emira变速箱故障,,
,产品质量类,Emira问题,Emira生锈,,
,产品质量类,钥匙问题,三角钥匙不工作,,
,产品质量类,钥匙问题,三角钥匙耗电异常,,
,产品质量类,钥匙问题,卡片钥匙失效,,
,产品质量类,钥匙问题,数字钥匙失效,,
,产品质量类,钥匙问题,数字钥匙靠近不解锁/不灵敏,,
,产品质量类,钥匙问题,数字钥匙不能启动车辆,去除,
,产品质量类,钥匙问题,数字钥匙创建分享失败,,
,产品质量类,钥匙问题,离车不落锁,,
,产品质量类,钥匙问题,自发解锁落锁,,
,产品质量类,LFC问题,闪充站问题,,
,产品质量类,LFC问题,家充桩问题,,
,产品质量类,LFC问题,三方充电站问题,,
,产品质量类,LFC问题,闪充站维护,,
,产品质量类,APP问题,APP显示错误的状态,,
,产品质量类,APP问题,APP上有角标，但打开后不知在哪处理,,
,产品质量类,APP问题,APP提示尾门未关,,
,产品质量类,APP问题,手机APP显示为演示模式,,
,产品质量类,APP问题,手机APP地址不能发送到车机导航,,
,产品质量类,APP问题,手机APP不能控制空调,,
,产品质量类,APP问题,手机APP车控不工作,,
,产品质量类,APP问题,手机APP无法连接汽车,,
,产品质量类,APP问题,手机APP反应迟钝,,
,产品质量类,APP问题,手机APP无法登录,,
,产品质量类,APP问题,手机APP底部分类与手机控制按钮重叠,,
,产品质量类,APP问题,不显示智驾总里程,,
,产品质量类,灯类故障,后尾灯闪烁,,
,服务类,订单取消/退款,交付时间原因取消订单,,
,产品质量类,钥匙问题,无法解锁，打不开车门,去除,
,产品质量类,故障告警,制动故障灯告警,,
,服务类,销售服务问题,用户权益,销售,
,产品质量类,LFC问题,充电功率低/慢,,
,服务类,销售服务问题,营销宣传差,,
,产品质量类,故障告警,仪表报警,,
,服务类,售后服务问题,售后维修质量差,,
,服务类,售后服务问题,商城服务,,
,产品质量类,故障告警,换挡系统告警,,
,产品质量类,外饰问题,天幕开裂,,
,产品质量类,Emira问题,Emira后备箱漏水,,
,服务类,车品商城问题,ETC服务,,
,服务类,车品商城问题,商品少发,,
,服务类,车品商城问题,商品质量差,,
,服务类,车品商城问题,商品退货退款,,
,产品质量类,Emira问题,Emira油箱盖无法打开,,
,产品质量类,APP问题,文言错误,,
,产品质量类,故障告警,冷却液报警,,
,产品质量类,车端充电问题,车端充电慢,,
,产品质量类,Emira问题,Emira玻璃划伤,,
,产品质量类,故障告警,刹车片报警,,
,产品质量类,故障告警,充电故障,,
,产品质量类,车端充电问题,无法充电,,
,产品质量类,外饰问题,后视镜下翻未复位,,
,产品质量类,底盘问题,转弯晃动,,
,产品质量类,内饰问题,顶棚漏水,,
,产品质量类,故障告警,蓄电池故障告警,,
,产品质量类,车门问题,电吸门无法自动吸合,,
,服务类,销售服务问题,对销售政策不满,,
,服务类,车品商城问题,发货时间慢,,
,产品质量类,外饰问题,色差,,
,产品质量类,电子电器问题,空调异常,,
,产品质量类,电子电器问题,哨兵模式异常,,
,产品质量类,座舱问题,副驾屏异常,,
,产品质量类,APP问题,高阶智能驾驶无法学习,,
,产品质量类,电子电器问题,后排屏异常,,
,产品质量类,座舱问题,导航定位漂移,,
,产品质量类,AD4问题,智驾异常,,
,产品质量类,AD4问题,生命探测异常,,
,产品质量类,座舱问题,氛围灯不亮,,
,服务类,销售服务问题,公充权益取消导致抱怨,,
,产品质量类,Emira问题,Emira车机导航无法使用,,
,产品质量类,座舱问题,QQ音乐播放异常,,
,产品质量类,座舱问题,PSD屏异常问题,,
,产品质量类,APP问题,APP无法查看配置下定,,
,产品质量类,APP问题,无法绑定充电卡,,
,产品质量类,电子电器问题,方向盘加热异常,,
,产品质量类,电子电器问题,驾驶模式无法调节,,
,产品质量类,车门问题,副驾屏幕无软开关,,
,产品质量类,Emira问题,Emira异响,,
,产品质量类,APP问题,无法扫码,,
,产品质量类,外饰问题,门把手掉落,,
,产品质量类,APP问题,APP升级异常，无法正常使用,,
,服务类,售后服务问题,服务体验不佳,,
,产品质量类,故障告警,变速箱故障,,
,产品质量类,内饰问题,仪表台反光,,
,产品质量类,异响问题,座椅异响,,
,产品质量类,底盘问题,刹车抖动或高频顿挫,,
,产品质量类,车门问题,车门无法打开,,
,产品质量类,APP问题,充电时APP界面没有功率、电压等数据显示,,
,产品质量类,电子电器问题,车辆锁车时，车灯偶发不熄灭,,
,产品质量类,底盘问题,主动侧倾控制系统弹窗临时降级,,
,服务类,销售承诺未能兑现,车辆配置不一致,,
,产品质量类,电子电器问题,空调异味,,
,产品质量类,座舱问题,方向盘无法接听电话,,
,服务类,销售服务问题,车款问题,,
,产品质量类,Evora问题,Evora无法锁挡,,
,产品质量类,内饰问题,座椅不舒适,,
,服务类,车品商城问题,新品建议,,
,产品质量类,车门问题,灵动门异常,,
,产品质量类,座舱问题,蓝牙和Carplay音乐互相切换声音变化大,,
,产品质量类,外饰问题,充电口盖异常,,
,产品质量类,电子电器问题,自动驻车异常,,
,服务类,销售服务问题,交付品质问题,,
,产品质量类,电子电器问题,泊车蓝牙连接异常,,
,产品质量类,底盘问题,加速失速,,
,服务类,车品商城问题,智驾服务,,
,产品质量类,故障告警,空气悬架系统故障,,
,产品质量类,AD4问题,流媒体后视镜异常,由电子电器修改为AD4问题,
,服务类,闪充机制问题,非营业时间抱怨,,
,服务类,积分发放问题,积分发放错误,,
,产品质量类,钥匙问题,遥控泊车异常,修改为蓝牙钥匙泊车失败,
,产品质量类,车端充电问题,车辆充电盖板不开盖,,
,产品质量类,外饰问题,油漆鼓包,,
,产品质量类,底盘问题,转向助力失效,,
,产品质量类,OTA更新问题,OTA安装失败,,
,产品质量类,灯类故障,照地灯不亮,,
,产品质量类,电子电器问题,车窗升降异常,,
,产品质量类,OTA更新问题,OTA后动能回收无法调节,,
,产品质量类,APP问题,APP无车辆首付界面,,
,产品质量类,底盘问题,丢失制动力,,
,产品质量类,座舱问题,行车记录仪录制异常,,
,产品质量类,电子电器问题,进气格栅关闭异常,,
,产品质量类,外饰问题,前备箱漏水,,
,产品质量类,OTA更新问题,OTA后车内外开关门异常,,
,产品质量类,APP问题,APP提示车门未锁，实际已锁车,,
,产品质量类,座舱问题,语音切歌异常,,
,产品质量类,Emira问题,emira故障告警,,
,产品质量类,座舱问题,设备投屏异常,,
,产品质量类,Emira问题,Emira音响失效,,
,产品质量类,故障告警,换挡系统异常,,
,产品质量类,Emira问题,Emira空调故障,,
,产品质量类,电子电器问题,方向盘无法调节故障告警,,
,产品质量类,Emira问题,Emira自动刹停,,
,产品质量类,车端充电问题,车机预约充电按钮问题,,
,服务类,车品商城问题,实物与宣传不符,,
,产品质量类,APP问题,不良信息用户监管,,
,产品质量类,Evora问题,Evora无法启动,,
,产品质量类,APP问题,APP功能异常,,
,产品质量类,外饰问题,尾翼不开启,,
,产品质量类,电子电器问题,雨刮卡顿,,
,产品质量类,Emira问题,Emira无法启动,,
,产品质量类,座舱问题,无保养提示,,
,产品质量类,故障告警,低速紧急制动故障,,
,服务类,订单取消/退款,因承诺未兑现,,
,产品质量类,底盘问题,车辆跑偏,,
,产品质量类,异响问题,充电异响,,
,产品质量类,动力异常,无法挂挡,,
,产品质量类,车端充电问题,充电中断,,
,产品质量类,电子电器问题,倒车雷达异常,,
,产品质量类,异响问题,车门异响,,
,产品质量类,内饰问题,皮质问题,,
,产品质量类,Emira问题,Emira胎压报警,,
,产品质量类,APP问题,APP定位不准,,
,产品质量类,底盘问题,2.0beta版用户测试，底盘舒适降低,,
,产品质量类,APP问题,APP积分异常,,
,产品质量类,外饰问题,门把手掉漆,,
,产品质量类,车端充电问题,充电功率异常,,
,产品质量类,故障告警,制动液告警,,
,产品质量类,外饰问题,雨刷故障,,
,产品质量类,电子电器问题,天幕闪屏,,
,服务类,交付问题,MY26交付问题,,
,服务类,试驾体验不良,试驾等待时间长,,
,产品质量类,座舱问题,导航播报异常,,
,产品质量类,内饰问题,方向盘裂痕,,
,产品质量类,外饰问题,轮胎开裂、鼓包等异常,,
,产品质量类,座舱问题,音乐播放杂音,,
,服务类,售后服务问题,代步服务差,,
,产品质量类,外饰问题,尾门上饰板翘起,,
,产品质量类,异响问题,内后视镜异响,,
,产品质量类,故障告警,DCDC故障告警,,
,产品质量类,内饰问题,按摩气囊破损,,
,产品质量类,电子电器问题,后视镜异常,,
,产品质量类,电子电器问题,手刹无法解锁,,
,产品质量类,外饰问题,前机舱盖异常,,
,产品质量类,外饰问题,后备箱异常,,
,服务类,售后服务问题,道路救援车损,,
,产品质量类,电子电器问题,车辆耗电异常,,
,产品质量类,座舱问题,音乐播放异常,,
,产品质量类,外饰问题,尾翼异常,,
,产品质量类,APP问题,APP状态未更新,,
,产品质量类,Emira问题,Emira机油灯故障,,
,产品质量类,座舱问题,天幕功能记忆异常,,
,产品质量类,Emira问题,Emira冷却液报警,,
,产品质量类,座舱问题,车控无法解锁车辆,app换到座舱,
,产品质量类,电子电器问题,无线充电功能异常,座舱移到电子电器,
,产品质量类,内饰问题,扶手箱开启异常,,
,产品质量类,Emira问题,Emira扶手箱开启异常,,
,服务类,销售服务问题,金融问题,,
,产品质量类,电子电器问题,激光雷达异常,,
,产品质量类,内饰问题,方向盘按键手感异常,,
,产品质量类,内饰问题,座椅缝线不良,,
,产品质量类,内饰问题,仪表盘间隙大,,
,产品质量类,Evora问题,Evora故障告警,,
,产品质量类,Emira问题,Emira动力受限,,
,产品质量类,车端充电问题,波谷充电异常,,
,产品质量类,Evora问题,evora仪表常亮,,
,产品质量类,内饰问题,按摩功能异常,,
,产品质量类,内饰问题,后排显示屏开裂,,
,产品质量类,Exige问题,exige车辆故障,,
,产品质量类,内饰问题,阅读灯异常,,
,产品质量类,内饰问题,座椅塌陷,,
,产品质量类,内饰问题,无线充电防滑垫鼓包,,
,产品质量类,Emira问题,Emira挂档异常,,
,产品质量类,异响问题,引擎盖异响,,
,产品质量类,Emira问题,Emira蓝牙异常,,
,服务类,试驾体验不良,试驾礼品未兑现,,
,产品质量类,内饰问题,门玻漏水,,
,产品质量类,Emira问题,Emira后备箱异常,,
,服务类,试驾体验不良,试驾非预期车型,,
,产品质量类,内饰问题,按键异常,,
,产品质量类,电子电器问题,灯类故障,,
,产品质量类,Evora问题,Evora内外饰件松脱,,
,产品质量类,底盘问题,刹车软,,
,产品质量类,电子电器问题,变道辅助失效,,
,产品质量类,座舱问题,动能回收失效,,
,产品质量类,钥匙问题,钥匙不能启动车辆,,
,产品质量类,电子电器问题,充电口盖无法开启,,
,产品质量类,Emira问题,Emira门把手异常,,
,服务类,试驾体验不良,试驾建议,,
,产品质量类,OTA更新问题,OTA推送异常,,
,产品质量类,外饰问题,门把手无法打开,,
,产品质量类,故障告警,动力电池故障,,
,产品质量类,Evora问题,Evora灯类故障,,
,产品质量类,APP问题,行车日志异常,座舱移到APP,
,服务类,试驾体验不良,试驾车状态差,,
,产品质量类,灯类故障,前大灯不亮,,
,产品质量类,Emira问题,Emira车机卡顿,,
,产品质量类,电子电器问题,充电口盖开关异常,,
,产品质量类,Emira问题,Emira漏水,,
,产品质量类,APP问题,APP无法更新,,
,产品质量类,电子电器问题,雨刮异常,,
,产品质量类,底盘问题,方向盘跑偏,,
,产品质量类,APP问题,无法登陆APP,,
,产品质量类,座舱问题,HUD屏异常问题,新增（抬头显示器）,
,产品质量类,座舱问题,音响失效,新增,
,产品质量类,灯类故障,后尾灯不亮,,
,服务类,试驾体验不良,无试驾车,,
,服务类,闪充机制问题,盗卖充电权益,,
,产品质量类,Emira问题,Emira雷达故障,,
,产品质量类,电子电器问题,充电插口异常,,
,服务类,销售服务问题,直播间服务态度差,,
,产品质量类,AD4问题,AVM黑屏,360倒车影像,
,产品质量类,内饰问题,错漏装,,
,产品质量类,APP问题,APP显示车主认证未通过,,
,产品质量类,故障告警,疲劳检测系统故障,,
,产品质量类,Emira问题,Emira灯光异常,,
,产品质量类,钥匙问题,钥匙不能挂挡,,
,产品质量类,内饰问题,车机大屏不良,,
,产品质量类,APP问题,车控无法解锁车辆,,
,产品质量类,座舱问题,天气卡片模糊,,
,产品质量类,AD4问题,ADView影像错误,,
,服务类,以租代购,三方租赁车售后服务,,
,服务类,以租代购,三方租赁车质量问题,,
,产品质量类,底盘问题,驻车问题,,
,体验需求类,新增更多APP,增加Tronity APP,,
,体验需求类,OTA下载建议,OTA离车下载,,
,服务类,销售服务问题,赛道活动报名异常,,
,产品质量类,电子电器问题,按键/拨片异常,,
,产品质量类,外饰问题,雷达盖板脱落,,
,产品质量类,电子电器问题,车辆过热,,
,咨询类,产品使用咨询,,,
,咨询类,售后服务咨询,,,
,产品质量类,AD4问题,AVM异常,,
,产品质量类,底盘问题,低速刹车往前溜,,
,产品质量类,座舱问题,收音机工作异常,,
,产品质量类,座舱问题,导航异常,,
,产品质量类,AD4问题,巡航速度不稳定,,
,产品质量类,车端充电问题,充电未按设定时间点开始或停止,,
,服务类,售后服务问题,索赔等待维修时间长,,
,服务类,销售服务问题,客服电话无人响应,,
,产品质量类,内饰问题,手套箱开启异常,,
,服务类,车品商城问题,到店安装问题,,
,产品质量类,故障告警,方向盘无法调节故障告警,,
,产品质量类,座舱问题,杜比音效问题,,
,产品质量类,内饰问题,出风口调节失效,,
,产品质量类,座舱问题,无互联网连接,,
,产品质量类,座舱问题,HUD导航“Towards”翻译不正确,,
,产品质量类,OTA更新问题,收到OTA通知邮件，但车机及手机显示版本已是最新,,
,产品质量类,Emira问题,Emira内饰问题,,
,产品质量类,Emira问题,Emira蓄电池故障,,
,产品质量类,Elise问题,Elise车辆故障,,
,产品质量类,APP问题,APP闪退,,
,产品质量类,底盘问题,转向系统故障,,
,产品质量类,AD4问题,ADview断连,,
,服务类,售后服务问题,质保期时限疑问,,
,产品质量类,内饰问题,拨杆脱落,,
,产品质量类,AD4问题,平行车手异常,,
,产品质量类,钥匙问题,车辆无法识别钥匙,,
,产品质量类,内饰问题,车内漏水,,
,产品质量类,Emira问题,Emira外饰问题,,
,产品质量类,异响问题,雷达风噪,,
,产品质量类,外饰问题,后视镜防护罩脱落,,
,产品质量类,底盘问题,掉头打滑,,
,产品质量类,故障告警,后玻璃除霜不可用,,
,产品质量类,APP问题,无法使用APP操作充电,,
,产品质量类,OTA更新问题,OTA后功能消失,,
,产品质量类,Emira问题,Emira行驶左右偏移,,
,产品质量类,灯类故障,日行灯进水,,
,产品质量类,灯类故障,ADB大灯炫目,,
,产品质量类,外饰问题,灯内水渍,,
,产品质量类,车端充电问题,充电时发出警报音,,
,产品质量类,Emira问题,Emira EPB故障,,
,产品质量类,外饰问题,轮毂白斑,,
,服务类,售后服务问题,车辆保护不当,,
,产品质量类,车门问题,儿童锁无法关闭,,
,产品质量类,动力异常,逆变器故障,,
,产品质量类,车门问题,尾门踢脚开关不灵敏,,
,产品质量类,电子电器问题,车辆异常报警,,
,产品质量类,外饰问题,触摸门把手解锁功能无法使用,,
,产品质量类,外饰问题,流媒体后视镜硬件问题,,
,产品质量类,内饰问题,无线充电面板翘起,,
,产品质量类,外饰问题,前挡玻璃开裂,,
,产品质量类,Emira问题,Emira仪表黑屏,,
,产品质量类,电子电器问题,天幕自适应调节失效,,
,产品质量类,外饰问题,天幕异常,,
,服务类,售后服务问题,道路救援时间长,,
,产品质量类,电子电器问题,后扰流扩散器异常,,
,体验需求类,哨兵模式需求增加项,停车自动开启守卫模式,,
,体验需求类,行车记录仪需求,行车记录仪反光,,
,体验需求类,QQ音乐优化,臻品母带,,
,产品质量类,Emira问题,Emira泊车系统故障,,
,体验需求类,OTA建议,OTA更新内容差,,
,产品质量类,OTA更新问题,OTA后智驾失效,,
,产品质量类,OTA更新问题,OTA更新过程中断电,,
,产品质量类,OTA更新问题,OTA后车机闪屏,,
,产品质量类,OTA更新问题,OTA后能耗变高,,
,体验需求类,车机显示车内温度,,,
,产品质量类,OTA更新问题,OTA后出现智能节油,,
,服务类,车品商城问题,发错商品,,
,产品质量类,内饰问题,门板缝线不良,,
,产品质量类,故障告警,自动驻车系统故障,,
,产品质量类,异响问题,风噪,,
,产品质量类,外饰问题,门玻升降异常,,
,体验需求类,车机差,,,
,体验需求类,增加模式,单踏板模式,,
,产品质量类,电子电器问题,摄像头异常,,
,体验需求类,手机APP建议,APP可开启风挡除霜功能,,
,服务类,售后服务问题,海外流量订阅抱怨,,
,体验需求类,新增按钮,新增NFC功能按钮,,
,产品质量类,异响问题,电机异响,,
,产品质量类,外饰问题,挡泥板开裂,,
,体验需求类,新增更多APP,增加 Apple Music,,
,体验需求类,车门把手防夹手,,,
,产品质量类,Emira问题,Emira水箱问题,,
,产品质量类,Emira问题,Emira网络问题,,
,产品质量类,内饰问题,内饰甲醛超标,,
,产品质量类,外饰问题,后视镜镜片抖动,,
,产品质量类,Evora问题,Evora无法绑定钥匙,,
,体验需求类,升级陡坡缓降系统,,,
,产品质量类,外饰问题,激光雷达不喷水,,
,产品质量类,电子电器问题,无法调节天幕,,
,产品质量类,OTA更新问题,OTA升级失败,,
,产品质量类,电子电器问题,座椅调节异常,,
,产品质量类,内饰问题,车机翻转卡滞,,
,产品质量类,电子电器问题,U盘无法识别,,
,产品质量类,OTA更新问题,OTA后异响,,
,产品质量类,LFC问题,浩瀚能源问题,,
,产品质量类,动力异常,电池衰减异常,,
,体验需求类,地图导航优化,新增百度地图,,
,体验需求类,行车记录仪需求,行车记录仪全时段录制,,
,体验需求类,充电建议,充电完成后再计费,,
,产品质量类,内饰问题,车内异味,,
,产品质量类,Evora问题,Evora异响,,
,体验需求类,充电建议,增加充电桩枪线长度,,
,服务类,试驾体验不良,无智驾体验,,
,产品质量类,故障告警,AISC告警,,
,体验需求类,充电建议,离车落锁，自动闪充站无法插枪,,
,体验需求类,可调节方向盘力度,,,
,产品质量类,电子电器问题,挂挡异常,,
,体验需求类,内外饰硬件升级,轮毂多配置,,
,体验需求类,硬件升级,方向盘太轻,,
,体验需求类,增加软开关,伴我回家软开关,,
,产品质量类,内饰问题,HUD反光,,
,体验需求类,手机APP建议,取消APP强制更新,,
,产品质量类,APP问题,小组件异常,,
,产品质量类,座舱问题,温度显示有差异,,
,产品质量类,APP问题,车模颜色错误,,
,产品质量类,电子电器问题,座椅记忆失效,,
,体验需求类,方向灯拨杆太小,,,
,产品质量类,座舱问题,网易云音乐播放异常,,
,体验需求类,负氧离子净化功能开关记忆,,,
,体验需求类,智能驾驶优化,千里浩瀚h7,,
,产品质量类,座舱问题,QQ音乐无法登陆,,
,产品质量类,座舱问题,QQ音乐异常,,
,产品质量类,座舱问题,QQ音乐无网络,,
,产品质量类,座舱问题,QQ音乐提示：数据获取失败,,
,体验需求类,轮毂视角建议,轮毂视角畸变,,
,体验需求类,轮毂视角建议,轮毂视角可关闭,,
,产品质量类,OTA更新问题,OTA后网络异常,,
,产品质量类,OTA更新问题,OTA后制动系统异常,,
,体验需求类,QQ音乐优化,QQ音乐悬浮歌词,,
,体验需求类,单独解锁充电口盖,,,
,产品质量类,座舱问题,屏幕亮度调节功能无法记忆,,
,体验需求类,内外饰硬件升级,底盘氛围灯,,
,服务类,销售服务问题,门店环境差,,
,体验需求类,车机分屏显示,,,
,产品质量类,OTA更新问题,温度无显示,,
,体验需求类,增加软开关,倒车影像软开关,,
,产品质量类,OTA更新问题,语音无法使用,,
,产品质量类,OTA更新问题,导航无法使用,,
,体验需求类,倒车功能建议,倒车视角畸变,,
,体验需求类,QQ音乐优化,QQ音乐循环播放超50首,,
,服务类,销售服务问题,电话骚扰,,
,体验需求类,新增更多APP,增加 Hyper Music,,
,体验需求类,悬浮歌词,,,
,产品质量类,座舱问题,爱奇艺播放异常,,
,产品质量类,座舱问题,记忆功能异常,,
,产品质量类,故障告警,ABS故障,,
,体验需求类,行车记录仪需求,记录仪显示驾驶模式,,
,体验需求类,硬件升级,底盘优化,,
,体验需求类,QQ音乐优化,桌面歌词,,
,产品质量类,座舱问题,驱动模式异常,,
,产品质量类,内饰问题,杯托卡顿,,
,服务类,交付问题,智驾权益包未开通,,
,产品质量类,内饰问题,做工差,,
,产品质量类,电子电器问题,传感器异常,,
,产品质量类,电子电器问题,后背箱开关异常,,
,产品质量类,底盘问题,自动跳档,,
,产品质量类,座舱问题,屏幕亮度自调节失效,,
,体验需求类,手机APP建议,手机app控制尾翼,,
,体验需求类,手机APP建议,取消APP开屏广告,,
,体验需求类,车机播放音乐优化,臻品母带,,
,,,,,
,体验需求类,新增更多APP,增加酷狗音乐,,
,体验需求类,手机APP建议,行车日志数据少,,
,体验需求类,车机小组件,,,
,体验需求类,手机APP建议,APP可开启哨兵增强模式,,
,产品质量类,故障告警,亮发动机故障灯,,
,体验需求类,洗车模式建议,,,
,,,,,
,产品质量类,动力异常,电机漏油,,
,体验需求类,自定义设置,空调按键自定义,,
,产品质量类,座舱问题,车机地图界面异常,,
,产品质量类,外饰问题,轮毂涂层异常,,
,产品质量类,外饰问题,掉漆,,
,产品质量类,电子电器问题,莲花智驱异常,,
,产品质量类,电子电器问题,座椅通风功能异常,,
,体验需求类,休憩模式建议,,,
,产品质量类,座舱问题,绿灯读秒异常,,
,服务类,车品商城问题,处理效率慢,,
,服务类,试驾体验不良,试驾过程差,,
,体验需求类,车机智能化,中控屏可调节后视镜摄像头,,
,服务类,销售服务问题,赛道活动体验不佳,,
,产品质量类,座舱问题,车机屏幕显示异常,,
,产品质量类,Emira问题,Emira锁车功能异常,,
,体验需求类,UI设计建议,,,
,产品质量类,座舱问题,后排屏幕控制异常,,
,体验需求类,桌面卡片,,,
,产品质量类,电子电器问题,尾翼开关异常,,
,产品质量类,座舱问题,休憩模式异常,,
,体验需求类,车机模型自定义,,,
,体验需求类,自定义设置,自定义背景,,
,产品质量类,座舱问题,车机控制异常,,
,产品质量类,座舱问题,HUD屏显示异常,,
,体验需求类,仪表板显示优化,,,
,产品质量类,座舱问题,车型显示错误,,
,产品质量类,外饰问题,保险杠开裂,,
,产品质量类,外饰问题,玻璃起泡,,
,体验需求类,时光引擎建议,,,
,产品质量类,灯类故障,转向灯不亮,,
,产品质量类,外饰问题,摄像头盖板脱落,,
,产品质量类,底盘问题,车辆抖动,,
,产品质量类,OTA更新问题,模拟声浪行驶后生效,,
,产品质量类,座舱问题,洗车模式异常,,
,产品质量类,座舱问题,打灯无声音,,
,产品质量类,座舱问题,软开关异常,,
